text;label
:grinning_face_with_smiling_eyes:;1
:simple_smile:;1
:grinning_squinting_face:;1
:smiling_face_with_smiling_eyes:;1
:grinning_face_with_big_eyes:;1
:smiling_face:;1
:smirking_face:;1
:smiling_face_with_heart-eyes:;1
:face_blowing_a_kiss:;1
:kissing_face_with_closed_eyes:;1
:flushed_face:;1
:relieved_face:;1
:grinning_squinting_face:;1
:beaming_face_with_smiling_eyes:;1
:winking_face:;1
:winking_face_with_tongue:;1
:squinting_face_with_tongue:;1
:grinning_face:;1
:kissing_face:;1
:kissing_face_with_smiling_eyes:;1
:face_with_tongue:;1
:sleeping_face:;1
:worried_face:;0
:frowning_face_with_open_mouth:;0
:anguished_face:;0
:face_with_open_mouth:;1
:grimacing_face:;0
:confused_face:;0
:hushed_face:;0
:expressionless_face:;0
:unamused_face:;0
:grinning_face_with_sweat:;0
:downcast_face_with_sweat:;0
:sad_but_relieved_face:;0
:weary_face:;0
:pensive_face:;1
:disappointed_face:;0
:confounded_face:;0
:fearful_face:;0
:anxious_face_with_sweat:;0
:persevering_face:;0
:crying_face:;0
:loudly_crying_face:;0
:face_with_tears_of_joy:;1
:astonished_face:;1
:face_screaming_in_fear:;0
:tired_face:;0
:angry_face:;0
:pouting_face:;0
:face_with_steam_from_nose:;0
:sleepy_face:;0
:face_savoring_food:;1
:face_with_medical_mask:;1
:smiling_face_with_sunglasses:;1
:dizzy_face:;0
:angry_face_with_horns:;0
:smiling_face_with_horns:;0
:neutral_face:;0
:face_without_mouth:;0
:smiling_face_with_halo:;1
:alien:;0
:yellow_heart:;1
:blue_heart:;1
:purple_heart:;1
:red_heart:;1
:green_heart:;1
:broken_heart:;0
:beating_heart:;1
:growing_heart:;1
:two_hearts:;1
:revolving_hearts:;1
:heart_with_arrow:;1
:sparkling_heart:;1
:sparkles:;1
:white_medium_star:;1
:glowing_star:;1
:dizzy:;0
:collision:;1
:collision:;1
:anger_symbol:;0
:exclamation_mark:;1
:question_mark:;1
:white_exclamation_mark:;1
:white_question_mark:;1
:zzz:;0
:dashing_away:;0
:sweat_droplets:;1
:musical_notes:;1
:musical_note:;1
:fire:;1
:pile_of_poo:;0
:pile_of_poo:;0
:pile_of_poo:;0
:thumbs_up:;1
:thumbs_up:;1
:thumbs_down:;0
:thumbs_down:;0
:OK_hand:;1
:oncoming_fist:;0
:oncoming_fist:;0
:raised_fist:;1
:victory_hand:;1
:waving_hand:;1
:raised_hand:;1
:raised_hand:;1
:open_hands:;1
:index_pointing_up:;1
:backhand_index_pointing_down:;1
:backhand_index_pointing_left:;1
:backhand_index_pointing_right:;1
