text,label
еж г«н÷Ќя жб« √д« «дЁ”н…,0
«бг–нЏ ќ»б «бЁ«н—ж” ”«—” гд ÷гд Ён—ж” я—жд«,0
«бЌ«Ёў…,1
’ж я  ЌЁе,1
е—ћ яЋнннннннн— ,0
÷ЏнЁ. «бгжёЏ. ”жЅ «б«” ё»«б ж ёб… ќ»—… «бгжўЁнд ж ќ«’… «б—”н»‘д ж Ўжб «б«д ў«— ж Џѕг  б»н… дЁ” «бџ—Ё… «бгЎбж»…,0
«” ќѕг  «б ћн ћн жя«д —«∆Џ ќ’ж’« гбг” ўе— «бћж«б «бћбѕн я«д ћѕ« гг Џ жг—нЌ н«бн  нЎбЏ ће«“ ћѕнѕ »ўе— ћбѕн г—нЌ г«  ќ«Ё Џбне гд «бя”—,1
«бё’нѕ… ббг д»н √Џ ёѕ,1
н«бн е  Ў»нЏ »б еж  “жн— ж  ѕбн”,0
гќн» бб√гб. «бгжёЏ ж Џ«гб гж÷Ён «б«” ё»«б. «б«Ћ«Ћ ёѕнг  ж«б’ж— »«б»жяндё џн— «бж«ёЏ..ж«б”Џ— яЋн— »«бд”»е ббќѕг« ..нЏдн г««д’Ќ,0
—г÷«д я—нг —еЁ Ќн« н,1
ќбн «бд’«∆Ќ бня н« г«г« е«–н ёб… «б —»н… ћнб гдЌ—Ё,0
нЏгн «Ќд« «б”»Џ«жне »дЁ ќ— »«бћджд «Ќд« «–« г« »джбЏе« г« »д— «Ќ ѕ«нг« яЁж н”Џѕ —» Ёб”Ўнд ”»Џ«жн ,1
Ён жндѕж“  Ён ‘ж—  я  Ќ дћд бг«  ” ќѕге »”еб Џбня я н— Ён «бд”ќ ж«б’ё жеж  ѕЏ” жндѕж“ ж Ќ—Ё «б  е«н «б«ќ ’«— »ЎбЏбя б” … »ћгнЏ «б«‘н«Ѕ «бн д”ќ е«,1
џжЎ,0
«гж  Џбнћ н« «бг”нёе,0
гд «ћгб гё«ЎЏ «бёд«… ж«—е»е« еня  ћ—»… женя ‘нЅ »’—«Ќ… г жёЏ  ггяд  ’б беня ”—Џ« «ж  “»Ў «ж янЁ еня Ёя—  Ќ м «” г— н« »Ўб ж—жжЏ« я «бгёЎЏ нћдд нЏдн нќбн ж«Ќѕ нг”я —«”ж жнёжб ‘ж ё«Џѕ н’н— ееееееегдЌ»я ,1
 Ќн« м «Ќгѕ нж нж»— г’—м гд «нЎ«бн« ,1
Ќ“нд ћѕ« н« бм Џдѕя ћ—Ќ ж ёбн гћ—жЌ «д« ћ—жЌн Ё«÷  жнд «жѕнее,0
«ббн ћ«н гд  н”гЏе« н’Ё ћг»н ,1
¬ќ№»ъј,1
бж ћ» ждн »«яб яб ‘н жЎ“ »«б Ќѕн,0
«б”«Џ… «б”«ѕ”…,1
ќ« г,1
«д« г «»Џе ћѕнѕе «‘ —я ,1
«ѕќб бёд« н Џ«бг ЌЁ’е,1
«Ќг— «б‘Ё«е,1
«д« я нн— »Ќ»я н« «Ќбм —еЁ ќѕЏ я«д  » ћдд   «Ќбм «Ќ»я ж«д‘«ббе  —нѕн Џбм  Џбнён ж—г÷«д я—нг г »Џ я гд «бћ“«∆— ,1
Ќжнде Ёнег Џ«“Ё «бгћж“«б—гЋ«жн,1
«б”яя «бЌѕнѕн… «бгЏбё…,1
гќн» бб√гб. б« ‘н. яб ‘н,0
«ёжббяб ‘ќ’ Ёёѕ «Ќѕ ж«бѕне «ббег «—Ќг яб «бгж м «бг”бгнд б« ”«жж «б«‘н«Ѕ «ббн  ќбнег н Џ–»ж »ё»—ег »«бЏя” ”«жж «б«‘н«Ѕ «ббн нћ«“нег «ббе Џбне« «–« яд ж  Ќ»ежг гд ћѕ,1
Џбм «”«” «гя «‘ — бя ћж«б «нЁжд »—ж ЌЎнд Џбм «бЎ«жб… ‘«б…,0
